FlowDataID,FlowReadingValue,FlowStationLocation/Description,FlowStationLocation/Direction,FlowStationLocation/Latitude,FlowStationLocation/Longitude,FlowStationLocation/MilePost,FlowStationLocation/RoadName,Region,StationName,Time
2482,1,Homeacres Rd,EB,47.978415632,-122.174701738,0.68,002,Northwest,002es00068,/Date(1746901942000-0700)/
6563,1,Unknown,EB,47.978415631,-122.174702954,0.68,002,Olympic,002es00068,/Date(1746901882000-0700)/
6564,1,Unknown,WB,47.978235694,-122.176068787,0.68,002,Olympic,002es00068,/Date(1746901882000-0700)/
2483,1,Homeacres Rd,WB,47.978234798,-122.175401812,0.68,002,Northwest,002es00068,/Date(1746901942000-0700)/
4828,1,"Bickford Ave, WB",EB,47.963102466,-122.124998645,3.6,002,Northwest,002es00360,/Date(1746901942000-0700)/
7622,1,Unknown,EB,47.963520889,-122.125564152,3.6,002,Olympic,002es00360,/Date(1746901882000-0700)/
7621,1,Unknown,WB,47.962988754,-122.12542422,3.6,002,Olympic,002es00360,/Date(1746901882000-0700)/
5238,1,"Bickford Ave, WB",WB,47.962977627,-122.125416439,3.6,002,Northwest,002es00360,/Date(1746901942000-0700)/
4829,1,"Bickford Ave, EB",EB,47.957136963,-122.118838359,4.11,002,Northwest,002es00411,/Date(1746901942000-0700)/
7623,1,Unknown,EB,47.957232791,-122.118922112,4.11,002,Olympic,002es00411,/Date(1746901882000-0700)/
7624,1,Unknown,WB,47.957165056,-122.118936112,4.11,002,Olympic,002es00411,/Date(1746901882000-0700)/
5235,1,"Bickford Ave, EB",WB,47.957142818,-122.118853008,4.11,002,Northwest,002es00411,/Date(1746901942000-0700)/
2413,1,SR 9 I/C,EB,47.951864915,-122.101369618,5.04,002,Northwest,002es00504,/Date(1746901942000-0700)/
7346,1,Unknown,EB,47.951884574,-122.101368445,5.04,002,Olympic,002es00504,/Date(1746901882000-0700)/
7347,1,Unknown,WB,47.951826258,-122.101368203,5.04,002,Olympic,002es00504,/Date(1746901882000-0700)/
2414,1,SR 9 I/C,WB,47.951864915,-122.101369618,5.04,002,Northwest,002es00504,/Date(1746901942000-0700)/
2452,1,SR 522 I/C,EB,47.862667141,-121.982999567,14.29,002,Northwest,002es01429,/Date(1746901942000-0700)/
7419,1,Unknown,EB,47.862663571,-121.982988805,14.29,002,Olympic,002es01429,/Date(1746901882000-0700)/
7420,4,Unknown,WB,47.862663571,-121.982988805,14.29,002,Olympic,002es01429,/Date(1746901882000-0700)/
2453,3,SR 522 I/C,WB,47.862667141,-121.982999567,14.29,002,Northwest,002es01429,/Date(1746901942000-0700)/
4695,1,Rice Rd,EB,47.868292287,-121.774930301,24.3,002,Northwest,002es02430,/Date(1746901942000-0700)/
7579,1,Unknown,EB,47.868290779,-121.774941952,24.3,002,Olympic,002es02430,/Date(1746901882000-0700)/
7580,1,Unknown,WB,47.868290779,-121.774941952,24.3,002,Olympic,002es02430,/Date(1746901882000-0700)/
4696,1,Rice Rd,WB,47.868292287,-121.774930301,24.3,002,Northwest,002es02430,/Date(1746901942000-0700)/
6098,1,InterstateBrdg,NB,45.622237,-122.672445973,0.32,005,Southwest,005es00032,/Date(1746901942000-0700)/
6097,2,InterstateBrdg,SB,45.622329576,-122.672717863,0.32,005,Southwest,005es00032,/Date(1746901942000-0700)/
5962,1,SR14,NB,45.623357949,-122.671103721,0.42,005,Southwest,005es00042,/Date(1746901942000-0700)/
5963,3,SR14,SB,45.623492452,-122.67124852,0.42,005,Southwest,005es00042,/Date(1746901942000-0700)/
4802,3,SR-14 Rmp Mtr,SB,45.623995815,-122.670583031,0.45,005,Southwest,005es00045,/Date(1746901942000-0700)/
4639,1,Evergreen,NB,45.629063203,-122.666337166,0.88,005,Southwest,005es00088,/Date(1746901942000-0700)/
4640,2,Evergreen,SB,45.62909175,-122.66658695,0.88,005,Southwest,005es00088,/Date(1746901942000-0700)/
5965,1,Millplain Rmp Mt,SB,45.630035159,-122.666022203,0.95,005,Southwest,005es00095,/Date(1746901942000-0700)/
7941,1,MP 1.23,NB,45.633803559,-122.663485835,1.23,005,Southwest,005es00123,/Date(1746901942000-0700)/
7940,3,MP 1.23,SB,45.633856743,-122.66370881,1.23,005,Southwest,005es00123,/Date(1746901942000-0700)/
4612,1,South of 4th Pln,NB,45.636344515,-122.662112371,1.41,005,Southwest,005es00141,/Date(1746901942000-0700)/
