OBJECTID,STATIONID,SEGKEY,SEG_UNITDESC,DETECTORNAME,ROADWAY,x,y
152825,9029,1,Aurora Ave N & N 46th St,Aurora Ave N & N 46th St,Aurora Ave N,1267358.50902411,245194.847345993
152826,9028,1,Aurora Ave N & Howe St,Aurora Ave N & Howe St,Aurora Ave N,1268118.95820859,235556.375809327
152827,9027,1,Aurora Ave N & Ward St,Aurora Ave N & Ward St,Aurora Ave N,1268048.42234245,232736.149330378
152828,396,1,AWV & Western Exit,AWV & Western Exit,AWV,1267394.51288912,226548.728962451
152829,4693,1,AWV & King St NB/SB,AWV & King St NB/SB,AWV,1269804.41866641,221856.784196094
152830,4813,1,WSB @ Charlestown St,WSB @ Charlestown St,WSB,1260407.23806776,211656.152530476
152831,4821,1,WSB @ 1st Ave S,WSB @ 1st Ave S,WSB,1269951.6813312,212083.827200055
152832,4816,1,WSB @ Mid Span DMS,WSB @ Mid Span DMS,WSB,1266438.32098588,211937.698883399
152833,9008,1,Elliott Ave & Western Ave,Elliott Ave & Western Ave,15th/Elliott,1263677.45954567,230179.277803704
152834,2272,1,NE Northgate Way & Dayton Ave N,NE Northgate Way & Dayton Ave N,NE Northgate Way,1266330.55258265,260882.823269844
152835,22349,491376,I5 SB COLLECTOR BETWEEN I90 WB ON RP AND I5 SB - I90 EB ON RP,4th/Dearborn-NB,I-5,1273375.66439463,220695.166194543
152836,22170,491484,I5 NB BETWEEN I5 NB ATLANTIC OFF RP AND I5 EXPRESS,Yesler,I-5,1272678.68621182,222934.138504639
152837,21935,493122,SR520 EB BETWEEN LK WASH BV ON RP AND MID CHANNEL,Midspan - single,SR-520,1288483.81331213,236935.792341828
152838,21822,492190,I5 SB BETWEEN I5 NB 1ST AV NE OFF RP AND 130TH ST ON RP,NE 120th - single,I-5,1273251.42374745,265207.330286831
152839,22547,493044,I90 EXPRESS BETWEEN I90 EXPRESS TUNNEL AND MID CHANNEL,West Highrise WB,I-90,1283207.02350484,218574.039777353
152840,22666,492229,I5 SB BETWEEN CITY LIMITS AND 145TH ST ON RP,NE 145th St-NB,I-5,1273365.24938922,271078.973317146
152841,21772,491819,I5 NB BETWEEN NE 45TH ST OFF RP AND NE 45TH ST ON RP,NE 45th St-SB - single,I-5,1273589.70760171,244514.659237877
152842,22278,491541,I5 EXPRESS BETWEEN 5TH AV EXPRESS RP AND I5 EXPR PIKE AND 9TH RP,University St-NB - single,I-5,1271004.57579692,225666.417734951
152843,21954,493121,SR520 EB BETWEEN MONTLAKE BV EB ON RP AND LK WASH BV ON RP,Lk Wash Blvd-EB - single,SR-520,1280873.35527192,238683.778101102
152844,21936,491748,I5 SB BETWEEN BOYLSTON AV E OFF RP AND I5 SB SR520 EB ON RP,E Hamlin,I-5,1273241.65506619,239267.786529541
152845,22255,1656,12TH AVE S BETWEEN S WELLER ST AND GOLF DR S,12th Avenue S - single,I-90,1274357.5099539,220420.825781927
152846,22550,492229,I5 SB BETWEEN CITY LIMITS AND 145TH ST ON RP,NE 145th,I-5,1273366.66342838,271151.912803814
152847,22024,492988,I90 EXPRESS RP BETWEEN SEATTLE BLVD S AND I90 EXPRESS TUNNEL,S Norman,I-90,1275578.37324379,219740.626600996
152848,22391,492190,I5 SB BETWEEN I5 NB 1ST AV NE OFF RP AND 130TH ST ON RP,NE 120th - single,I-5,1273251.42374745,265207.330286831
152849,22487,492064,I5 NB BETWEEN NE 85TH ST OFF RP AND 85TH ST ON RP,NE 81st - single,I-5,1272549.64734589,254421.827333599
152850,21908,490949,CORSON AV S OFF RP BETWEEN I5 CORSON AV S OFF RP AND I5 NB,S Pearl,I-5,1273815.97683422,205144.775707453
152851,22070,491164,I5 NB BETWEEN W SEATTLE BR - I5 NB RP AND I5 NB COLLECTOR S,S Holgate,I-5,1273544.14379849,216642.261734739
152852,22663,491982,NE 70TH ST ON RP BETWEEN NE 70TH ST AND I5 NB,Lake City,I-5,1273991.2102436,252533.244332552
152853,47536,,,SE 70th,I-405,1304115.33142567,200680.731978074
152854,47539,,,NE 37th,I-405,1303273.57498911,195004.41869162
152855,47507,,,SE 64th,I-405,1304151.47267558,202723.095839545
152856,47513,,,SE 47th,I-405,1306485.35744348,209029.829042971
152857,47520,,,SE 59th,I-405,1304938.61430995,205335.899422973
152858,47495,,,SR 169-NB,I-405,1303749.40121922,180001.796547979
152859,47459,,,NE 24th,I-405,1303184.31622735,189971.453855991
152860,21789,,,Andover Park W - single,I-405,1289005.24763672,171694.97917214
152861,921,0,Montlake Blvd & E Shelby St,Montlake Blvd & E Shelby St,Montlake Blvd,1277773.23433964,239233.863943189
152862,923,0,Montlake Blvd & NE Pacific Pl,Montlake Blvd & NE Pacific Pl,Montlake Blvd,1277971.15102057,240936.120627239
152863,925,0,Montlake Blvd & 25th Ave NE,Montlake Blvd & 25th Ave NE,Montlake Blvd,1278778.22986901,243958.164287865
152864,927,0,NE 45th St & U Village Entrance,NE 45th St & U Village Entrance,NE 45th St,1279524.1716186,244607.975980371
152865,930,0,NE 45th St & Union Bay Pl NE,NE 45th St & Union Bay Pl NE,NE 45th St,1280699.0515687,244620.23891516
152866,942,0,Sand Point Way & NE 50th St,Sand Point Way & NE 50th St,Sand Point Way,1283219.88519171,245814.683294639
